[ 2026-06-18 07:28:03,862 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-18 07:28:06,854 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-18 07:28:06,854 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-18 07:28:06,854 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-18 07:28:06,901 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-18 07:28:06,901 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-18 07:28:06,908 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-18 07:28:06,961 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 07:28:06,961 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 07:28:06,962 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 07:28:06,962 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 07:28:07,083 ] 28 root - INFO - data Validation Completed
[ 2026-06-18 07:28:07,083 ] 31 root - INFO - data Transformation started
[ 2026-06-18 07:28:07,083 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-18 07:28:07,083 ] 65 root - INFO - Starting data transformation
[ 2026-06-18 07:28:07,103 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-18 07:28:07,104 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-18 07:28:07,117 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 07:28:07,119 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 07:28:07,119 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 07:28:07,121 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 07:28:07,122 ] 35 root - INFO - data Transformation completed
[ 2026-06-18 07:28:07,122 ] 37 root - INFO - Model Training sstared
[ 2026-06-18 07:32:47,674 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 07:32:47,687 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 07:32:47,687 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 07:32:47,693 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 07:32:47,693 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2026_07_28_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911379657603222, precision_score=0.9887482419127989, recall_score=0.9935392691298203), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9748660898228265, precision_score=0.9672935404742437, recall_score=0.9825581395348837))
[ 2026-06-18 07:32:47,693 ] 42 root - INFO - Model Training artifact created
